city_code	pref_name	district_name	city_name	name	drm_length	osm_length	completeness	coverage
11324	埼玉県	入間郡	三芳町	埼玉県入間郡三芳町	177478.006406367	165557.199179371	-11920.8072269964	0.932826944051628
11326	埼玉県	入間郡	毛呂山町	埼玉県入間郡毛呂山町	266485.813750028	245915.087071108	-20570.7266789192	0.922803960205641
11327	埼玉県	入間郡	越生町	埼玉県入間郡越生町	163870.904659348	162653.938316605	-1216.96634274337	0.992567570717658
11341	埼玉県	比企郡	滑川町	埼玉県比企郡滑川町	250171.028951614	244540.972000481	-5630.05695113339	0.977491260814683
11342	埼玉県	比企郡	嵐山町	埼玉県比企郡嵐山町	272634.439445728	251642.925680199	-20991.5137655289	0.923001522442545
11343	埼玉県	比企郡	小川町	埼玉県比企郡小川町	348270.091160632	337058.705755114	-11211.3854055174	0.967805581082968
11346	埼玉県	比企郡	川島町	埼玉県比企郡川島町	415123.713333487	364836.690334876	-50287.0229986104	0.878860445106259
11347	埼玉県	比企郡	吉見町	埼玉県比企郡吉見町	391556.693217796	350787.349066306	-40769.3441514896	0.895876534013566
11348	埼玉県	比企郡	鳩山町	埼玉県比企郡鳩山町	185335.576788674	180839.809066618	-4495.76772205564	0.97573728942246
11349	埼玉県	比企郡	ときがわ町	埼玉県比企郡ときがわ町	226673.197244425	221920.369998302	-4752.82724612291	0.979027929495668
11361	埼玉県	秩父郡	横瀬町	埼玉県秩父郡横瀬町	119240.354067254	126656.371575105	7416.01750785155	1.06218494888669
11362	埼玉県	秩父郡	皆野町	埼玉県秩父郡皆野町	199124.314364211	216559.775105991	17435.4607417807	1.08755522017604
11363	埼玉県	秩父郡	長瀞町	埼玉県秩父郡長瀞町	123682.407825277	114083.123174109	-9599.28465116787	0.922380173541711
11365	埼玉県	秩父郡	小鹿野町	埼玉県秩父郡小鹿野町	288783.562096604	312517.068919843	23733.5068232387	1.0821806631592
11369	埼玉県	秩父郡	東秩父村	埼玉県秩父郡東秩父村	112991.313817393	135395.170991936	22403.857174543	1.19826885933806
11381	埼玉県	児玉郡	美里町	埼玉県児玉郡美里町	279872.464585066	265159.949424259	-14712.5151608071	0.94742797362865
11383	埼玉県	児玉郡	神川町	埼玉県児玉郡神川町	330962.76788456	324263.627446598	-6699.14043796202	0.979755667876313
11385	埼玉県	児玉郡	上里町	埼玉県児玉郡上里町	371853.588350824	364972.286781046	-6881.30156977812	0.981491954690404
